1058,728144,2,NULL
1059,728144,3,1920X1080
1060,728144,7,103.4
1061,728144,11,42
1062,728144,12,16x9
1063,728144,13,NICAM סטריאו
1064,728144,8,64.4
1065,728144,9,8.3
1066,728144,10,LCD
1067,732914,4,NULL
1068,732914,5,NULL
1069,732914,6,NULL
1070,732914,1,Full HD
1071,732914,2,NULL
1072,732914,3,1920X1080
1073,732914,7,112.9
1074,732914,11,46
1075,732914,12,NULL
1076,732914,13,NULL
1077,732914,8,70.5
1078,732914,9,2.9
1079,732914,10,LED
1080,734878,4,500
1081,734878,5,178
1082,734878,6,2
1083,734878,1,Full HD
1084,734878,2,150000 :1
1085,734878,3,1920X1080
1086,734878,7,72
1087,734878,11,42
1088,734878,12,16x9
1089,734878,13,SRS TruSurround XT
1090,734878,8,105
1091,734878,9,29.6
1092,734878,10,LCD
1093,594997,4,550
1094,594997,5,176
1095,594997,6,6
1096,594997,1,Full HD
1097,594997,2,800 :1
1098,594997,3,1920X1080
1099,594997,7,80
1100,594997,11,32
1101,594997,12,16x9
1102,594997,13,NULL
1103,594997,8,55.5
1104,594997,9,11
1105,594997,10,LCD
1106,732550,4,1500
1107,732550,5,NULL
1108,732550,6,NULL
1109,732550,1,Full HD
1110,732550,2,2000000 :1
1111,732550,3,1920X1080
1112,732550,7,124
1113,732550,11,50
1114,732550,12,NULL
1115,732550,13,SRS TruSurround XT
1116,732550,8,76.6
1117,732550,9,7.4
1118,732550,10,פלזמה
1119,736226,4,500
1120,736226,5,178
1121,736226,6,5
1122,736226,1,HD Ready
1123,736226,2,60000 :1
1124,736226,3,1366x768
1125,736226,7,103
1126,736226,11,42
1127,736226,12,16x9
1128,736226,13,SRS TruSurround XT
1129,736226,8,66
1130,736226,9,8.7
1131,736226,10,LCD
1132,732737,4,500
1133,732737,5,178
1134,732737,6,5
1135,732737,1,Full HD
1136,732737,2,70000 :1
1137,732737,3,1920X1080
1138,732737,7,80
1139,732737,11,32
1140,732737,12,16x9
1141,732737,13,SRS TruSurround XT
1142,732737,8,60
1143,732737,9,23
1144,732737,10,LCD
1145,735950,4,450
1146,735950,5,178
1147,735950,6,NULL
1148,735950,1,Full HD
1149,735950,2,50000 :1
1150,735950,3,1920X1080
1151,735950,7,100.9
1152,735950,11,42
1153,735950,12,16x9
1154,735950,13,SRS Wow
1155,735950,8,64.9
1156,735950,9,9.4
1157,735950,10,LCD
1158,728163,4,500
1159,728163,5,178
1160,728163,6,5
1161,728163,1,Full HD
1162,728163,2,NULL
1163,728163,3,1920X1080
1164,728163,7,113
1165,728163,11,47
1166,728163,12,16x9
1167,728163,13,SRS TruSurround XT
1168,728163,8,76
1169,728163,9,4
1170,728163,10,LCD
1171,744190,4,500
1172,744190,5,178
1173,744190,6,2
1174,744190,1,Full HD
1175,744190,2,3000000 :1
1176,744190,3,1920X1080
1177,744190,7,112
1178,744190,11,47
1179,744190,12,16x9
1180,744190,13,SRS TruSurround XT
1181,744190,8,70
1182,744190,9,2.9
1183,744190,10,LED
1184,714447,4,500
1185,714447,5,178
1186,714447,6,8
1187,714447,1,Full HD
1188,714447,2,25000 :1
1189,714447,3,1920X1080
1190,714447,7,100.9
1191,714447,11,42
1192,714447,12,16x9
1193,714447,13,SRS Wow
1194,714447,8,64.9
1195,714447,9,9.4
1196,714447,10,LCD
1197,708106,4,450
1198,708106,5,178
1199,708106,6,6
1200,708106,1,HD Ready
1201,708106,2,50000 :1
1202,708106,3,1366x768
1203,708106,7,80
1204,708106,11,32
1205,708106,12,16x9
1206,708106,13,SRS TruSurround XT
1207,708106,8,52.5
1208,708106,9,9.3
1209,708106,10,LCD
1210,741982,4,NULL
1211,741982,5,178
1212,741982,6,NULL
1213,741982,1,Full HD
1214,741982,2,15000 :1
1215,741982,3,1920X1080
1216,741982,7,91.5
1217,741982,11,37
1218,741982,12,16x9
1219,741982,13,NULL
1220,741982,8,57.7
1221,741982,9,9.7
1222,741982,10,LCD
1223,715103,4,500
1224,715103,5,178
1225,715103,6,8
1226,715103,1,HD Ready
1227,715103,2,1000 :1
1228,715103,3,1366x768
1229,715103,7,79.8
1230,715103,11,32
1231,715103,12,16x9
1232,715103,13,NULL
1233,715103,8,55
1234,715103,9,9.9
1235,715103,10,LCD
1236,719985,4,500
1237,719985,5,160
1238,719985,6,8
1239,719985,1,HD Ready
1240,719985,2,700 :1
1241,719985,3,1366x768
1242,719985,7,68.8
1243,719985,11,26
1244,719985,12,16x9
1245,719985,13,NULL
1246,719985,8,51
1247,719985,9,16.2
1248,719985,10,LCD
1259,725960,4,NULL
1260,725960,5,178
1261,725960,6,NULL
1262,725960,1,Full HD
1263,725960,2,100000 :1
1264,725960,3,1920X1080
1265,725960,7,NULL
1266,725960,11,40
1267,725960,12,16x9
1268,725960,13,Virtual Dolby Surround Pro Logic II
1269,725960,8,NULL
1270,725960,9,NULL
1271,725960,10,LCD
1272,715386,4,500
1273,715386,5,NULL
1274,715386,6,6
1275,715386,1,HD Ready
1276,715386,2,18000 :1
1277,715386,3,1368 x 768
1278,715386,7,90.2
1279,715386,11,37
1280,715386,12,NULL
1281,715386,13,SRS Wow
1282,715386,8,59
1283,715386,9,9.4
1284,715386,10,LCD
1285,739221,4,450
1286,739221,5,NULL
1287,739221,6,NULL
1288,739221,1,HD Ready
1289,739221,2,NULL
1290,739221,3,NULL
1291,739221,7,NULL
1292,739221,11,46
1293,739221,12,16x9
1294,739221,13,Dolby Digital (AC-3)
1295,739221,8,NULL
1296,739221,9,NULL
1297,739221,10,LED
1298,721260,4,NULL
1299,721260,5,178
1300,721260,6,NULL
1301,721260,1,HD Ready
1302,721260,2,1000000 :1
1303,721260,3,1024x768
1304,721260,7,102
1305,721260,11,42
1306,721260,12,16x9
1307,721260,13,SRS Wow
1308,721260,8,67.9
1309,721260,9,9.25
1310,721260,10,פלזמה
1311,716790,4,500
1312,716790,5,178
1313,716790,6,5
1314,716790,1,NULL
1315,716790,2,1000 :1
1316,716790,3,1366x768
1317,716790,7,103.4
